,Year,Category,Production,Growth Rate,Main Category
0,2014-01-01,Milk Production (Metric Tons),1724823.0,1.5,Milk
1,2015-01-01,Milk Production (Metric Tons),1853885.0,7.48262285463494,Milk
2,2016-01-01,Milk Production (Metric Tons),1911239.0,3.09371940546474,Milk
3,2017-01-01,Milk Production (Metric Tons),2085000.0,9.09153695586999,Milk
4,2018-01-01,Milk Production (Metric Tons),2168434.25121286,4.00164274402206,Milk
5,2019-01-01,Milk Production (Metric Tons),2301000.0,6.11343178669091,Milk
6,2020-01-01,Milk Production (Metric Tons),2479899.2526345,7.77484800671448,Milk
7,2021-01-01,Milk Production (Metric Tons),2566614.0,3.49670444367364,Milk
8,2022-01-01,Milk Production (Metric Tons),2613843.0,1.84012866757526,Milk
9,2023-01-01,Milk Production (Metric Tons),2683875.0,2.67927339170715,Milk
10,2014-01-01,Cow,557669.0,4.8,Livestock
11,2015-01-01,Cow,639590.0,14.6898966949929,Livestock
12,2016-01-01,Cow,665285.0,4.01741740802702,Livestock
13,2017-01-01,Cow,721090.0,8.38813440856174,Livestock
14,2018-01-01,Cow,795529.566212855,10.3232004621968,Livestock
15,2019-01-01,Cow,920400.0,15.6965170234458,Livestock
16,2020-01-01,Cow,1060486.97230283,15.2202273253837,Livestock
17,2021-01-01,Cow,1101812.0,3.89679729939853,Livestock
18,2022-01-01,Cow,1214046.0,10.1863112763339,Livestock
19,2023-01-01,Cow,1281719.0,5.57417099516822,Livestock
20,2014-01-01,Buffalo,1167154.0,-0.05,Livestock
21,2015-01-01,Buffalo,1214295.0,4.03897000738549,Livestock
22,2016-01-01,Buffalo,1249954.0,2.93660107305062,Livestock
23,2017-01-01,Buffalo,1363910.0,9.11681549881036,Livestock
24,2018-01-01,Buffalo,1372904.685,0.659477898101785,Livestock
25,2019-01-01,Buffalo,1380600.0,6.11343178669116,Livestock
26,2020-01-01,Buffalo,1419412.28033167,6.11343178669116,Livestock
27,2021-01-01,Buffalo,1464802.0,3.19778265253023,Livestock
28,2022-01-01,Buffalo,1399797.0,-4.43780114991651,Livestock
29,2023-01-01,Buffalo,1402156.0,0.168524436043226,Livestock
30,2014-01-01,Net Meat Production(Metric Tons),300901.0,0.9,Meat
31,2015-01-01,Net Meat Production(Metric Tons),317854.0,5.63407898278836,Meat
32,2016-01-01,Net Meat Production(Metric Tons),332544.0,4.62161873061217,Meat
33,2017-01-01,Net Meat Production(Metric Tons),347000.0,4.34709391839877,Meat
34,2018-01-01,Net Meat Production(Metric Tons),357081.560495459,2.90534884595361,Meat
35,2019-01-01,Net Meat Production(Metric Tons),552156.0,54.6302192792791,Meat
36,2020-01-01,Net Meat Production(Metric Tons),520741.9,-5.6893522844993,Meat
37,2021-01-01,Net Meat Production(Metric Tons),512788.0,-1.52741694109885,Meat
38,2022-01-01,Net Meat Production(Metric Tons),430085.0,-16.1281075220169,Meat
39,2023-01-01,Net Meat Production(Metric Tons),447767.0,4.1112803283072,Meat
40,2014-01-01,Buffalo,174012.0,0.1,Livestock
41,2015-01-01,Buffalo,179110.0,2.9296830103671,Livestock
42,2016-01-01,Buffalo,180080.0,0.541566635028753,Livestock
43,2017-01-01,Buffalo,185200.0,2.84318080852954,Livestock
44,2018-01-01,Buffalo,188574.25,1.82194924406048,Livestock
45,2019-01-01,Buffalo,189517.0,0.499935701719614,Livestock
46,2020-01-01,Buffalo,188171.9,-0.709751631779738,Livestock
47,2021-01-01,Buffalo,194090.0,3.14504981880929,Livestock
48,2022-01-01,Buffalo,116503.0,-39.9747539801123,Livestock
49,2023-01-01,Buffalo,138271.0,18.6844973949169,Livestock
50,2014-01-01,Sheep,2658.0,0.1,Livestock
51,2015-01-01,Sheep,2785.0,4.77802859292701,Livestock
52,2016-01-01,Sheep,2714.0,-2.54937163375224,Livestock
53,2017-01-01,Sheep,2800.0,3.16875460574797,Livestock
54,2018-01-01,Sheep,2762.728,-1.33114285714285,Livestock
55,2019-01-01,Sheep,2735.0,-1.00364567195902,Livestock
56,2020-01-01,Sheep,2963.7,8.36197440585009,Livestock
57,2021-01-01,Sheep,2880.0,-2.82417248709383,Livestock
58,2022-01-01,Sheep,1874.0,-34.9305555555556,Livestock
59,2023-01-01,Sheep,2762.0,47.3852721451441,Livestock
60,2014-01-01,Goats,60906.0,3.1,Livestock
61,2015-01-01,Goats,63807.0,4.76307752930746,Livestock
62,2016-01-01,Goats,67706.0,6.11061482282508,Livestock
63,2017-01-01,Goats,70800.0,4.56975748087319,Livestock
64,2018-01-01,Goats,73914.3535726959,4.39880448120889,Livestock
65,2019-01-01,Goats,75023.0,1.4999068160878,Livestock
66,2020-01-01,Goats,70755.2,-5.68865547898645,Livestock
67,2021-01-01,Goats,74241.0,4.92656370132514,Livestock
68,2022-01-01,Goats,77162.0,3.93448364111475,Livestock
69,2023-01-01,Goats,86280.0,11.816697338068,Livestock
70,2014-01-01,Pigs,20135.0,4.5,Livestock
71,2015-01-01,Pigs,21094.0,4.76285075738763,Livestock
72,2016-01-01,Pigs,24535.0,16.3126955532379,Livestock
73,2017-01-01,Pigs,28200.0,14.9378438964744,Livestock
74,2018-01-01,Pigs,28578.8393288076,1.34340187520426,Livestock
75,2019-01-01,Pigs,29493.0,3.19873267306178,Livestock
76,2020-01-01,Pigs,31450.0,6.63547282405995,Livestock
